country,cancer_mortality,smoking,alcohol,obesity,inactivity,gdp_per_capita,pollution(pm2.5),"Medical doctors (per 10,000)"
ECU,87.166710441,10.1,2.0,22.250609,27.828793,6737.84748379638,17.30573,23.13
CUB,215.414655493,25.8,9.3,21.760932,61.075569,6299.99026533713,18.71263,85.05
RWA,119.963655395,10.3,9.0,1.758071,7.6714039,1027.03446826565,35.25216,1.04
KWT,79.206863769,24.6,0.0,48.261946,61.742039,34075.849012909,67.22286,29.69
TCD,79.443550605,7.0,0.5,6.0424827,17.847639,949.333453674592,41.15263,0.85
MLT,140.075405535,23.2,3.6,32.287985,37.769535,40905.8059585057,9.30853,47.19
MWI,147.034275954,1.6,1.4,3.0653371,2.9393499,633.214767978695,20.18388,0.83
SUR,98.51013874,16.25,5.3,29.015034,48.855488,5521.97602122638,12.17056,13.55
BHS,129.168122277,16.3,4.8,47.25754,46.624298,38231.774484278,5.19973,18.95
MRT,84.201430251,18.1,0.1,35.014606,38.518417,2135.78187606359,54.70469,2.61
CRI,111.908078076,8.1,4.9,37.745804,41.587051,16942.0268119375,13.87021,26.87
BOL,100.876307957,4.4,6.8,34.326112,22.574299,4274.70820547613,26.88724,12.84
KEN,144.320323059,15.0,4.6,6.0388699,8.9172421,1942.58802756191,10.00684,2.89
NPL,128.838586824,10.1,2.1,6.989485,10.44835,1382.33055769304,36.43171,10.11
BTN,109.411954822,29.4,0.7,12.177311,8.876421,3831.32535494609,16.91202,5.53
HTI,125.005511492,12.6,2.7,6.4792134,35.785942,1705.75808460999,10.37548,2.92
AUS,163.443060144,11.4,5.2,29.284006,27.166674,65058.3773146674,9.11918,42.28
CIV,137.542362587,13.4,2.7,15.721627,19.677767,2591.9659048119,36.04315,1.66
LVA,214.290359784,31.2,20.9,24.272498,15.417126,22710.2637544197,14.13153,33.52
GHA,134.834365395,0.6,4.4,5.1456396,21.162224,2383.90410483418,50.42,2.66
BFA,145.078293044,4.1,12.0,4.0103696,16.943354,873.482589651003,46.03739,1.08
TTO,99.363198752,16.25,6.7,22.358915,54.166763,18308.4536298575,10.26482,41.57
OMN,60.998533911,0.4,0.8,31.095415,34.992344,21027.7384778886,35.7593,19.92
VUT,90.01021191,9.1,0.8,26.093563,5.8090606,3482.61458237637,9.0883,1.64
ZWE,221.168682394,0.8,1.6,20.930494,21.140495,2195.22492079245,15.00578,1.82
VCT,131.166431306,16.25,14.4,18.685965,21.354725,10582.3656725229,9.50585,18.56
SOM,142.318198609,16.25,0.0,5.8335241,13.545473,596.885985135589,14.26043,0.48
MDV,124.917852153,31.8,3.5,23.553596,24.620359,12587.6126038651,13.00334,23.0
USA,102.550335616,20.9,9.9,41.986719,27.574503,81032.262117545,7.10274,26.54
NZL,154.176649022,10.2,16.4,32.277524,19.505217,49075.9562832927,8.31143,36.8
CYP,109.940014923,17.9,16.9,20.230205,34.761589,36623.69140625,13.01427,38.06
BEL,91.59391438,19.0,11.1,20.025368,22.359768,55291.4754541329,11.56679,33.91
CZE,173.419917593,26.5,14.5,22.299154,24.116062,31761.5944102491,13.55732,42.39
NER,73.908421274,7.6,0.7,5.9746772,16.196146,638.336080897887,59.52592,0.38
BWA,83.975600997,6.1,2.5,18.290879,26.786106,7826.35376483298,13.90313,3.79
FJI,122.053838642,39.2,5.5,25.634536,15.530147,5926.20586394763,7.36073,7.54
CHN,91.038849252,2.0,7.1,8.2795262,27.950201,12951.1782397043,40.16787,28.19
FRA,93.296904472,25.4,12.3,9.6195906,23.179119,44700.1384177544,11.33744,40.09
LKA,91.542581885,40.2,1.7,10.563637,44.844318,3798.89016573011,23.14751,11.36
BDI,137.939652897,4.8,7.2,4.0445022,14.548161,250.627253097255,27.98342,0.78
AZE,91.142260146,38.5,1.5,32.581338,23.920729,7133.02838048328,24.24792,31.85
QAT,75.066536729,3.7,0.4,43.141672,53.482586,81816.9797967481,59.96159,30.22
MKD,259.379847669,36.4,9.9,26.743877,20.531815,8674.35846327485,23.78762,29.44
MDG,128.176271416,41.0,3.2,4.4576559,13.590646,508.718427705591,16.02251,1.03
BGD,71.794365511,49.1,0.0,7.5741924,20.300066,2551.01773827307,42.47021,7.22
ARG,143.338039805,27.3,4.7,35.355195,36.934277,14261.8465667948,12.04087,50.88
LTU,102.67550321,28.5,6.6,25.355321,19.775757,27786.0057829276,10.36907,46.45
BIH,183.853552993,29.2,7.2,20.634064,23.692265,8663.02326458629,28.30796,25.84
POL,199.302295002,21.9,11.7,27.499697,36.96788,22145.2660647429,20.36161,36.49
BEN,95.786947431,6.8,4.5,11.165858,15.639967,1394.17784721831,31.77874,2.16
TKM,86.16289263,5.3,4.9,18.767376,12.09028,6231.91323839698,26.42952,19.34
SWZ,145.468131844,2.3,3.8,30.086693,22.623983,3755.52111232464,15.71279,5.57
DZA,83.183465389,0.6,0.9,23.814993,38.202965,5370.477235078,21.73509,16.6
GRD,155.246208385,16.25,15.1,18.532169,28.789768,11414.4781691181,10.22044,13.83
ZMB,106.411093646,2.6,10.6,11.078548,17.92662,1330.72780576709,16.8967,1.56
