country,cancer_mortality,smoking,alcohol,obesity,inactivity,gdp_per_capita,life_expectancy,pollution_pm25,medical_doctors_per_10000
HTI,184.719730615,12.6,4.5,10.68923,35.785942,1705.75808460999,64.936,9.08662,2.92
TON,207.119347233,30.2,1.3,80.093384,30.665785,5651.59373063157,72.895,7.38654,10.14
MMR,144.71158606,70.1,8.4,5.471611,20.12133,1233.19666209269,66.889,27.75418,7.57
BRN,180.876794231,28.0,0.2,30.029714,37.430027,32890.5491812019,75.327,7.35515,20.94
TUR,185.275912305,19.5,0.6,25.214916,44.388168,13375.0947282864,77.156,23.34192,23.4
JPN,72.675104377,15.8,12.3,7.4676856,39.960026,33836.1756271617,84.0412195121951,11.32238,26.49
COM,86.083335413,2.1,1.2,8.0247007,23.735258,1560.27378476855,66.777,14.48957,4.24
ISL,141.227704227,9.7,9.1,21.234407,28.031584,82138.7892973557,82.4560975609756,5.78865,44.76
PAK,119.264965983,27.4,0.1,26.012906,34.140415,1360.32417758419,67.649,51.58568,9.71
JAM,140.6662268,18.8,6.8,33.807024,38.614437,7542.40084275345,71.479,13.74569,4.6
CZE,165.849327645,26.5,14.5,22.299154,23.366205,31761.5944102491,79.8268292682927,14.8192,42.39
DOM,118.014835955,17.7,6.7,23.249897,42.923744,10630.431743829,73.72,7.25471,24.26
VUT,90.01021191,25.3,3.7,21.280643,7.5170069,3482.61458237637,71.477,8.1155,1.64
BRA,117.850566374,8.9,3.3,24.310401,40.398304,10377.5897719195,75.848,10.09071,23.57
SUR,121.119627077,17.7,2.2,19.09955,48.855488,5521.97602122638,73.631,13.21158,13.55
VEN,104.31754198,17.7,1.8,24.873701,38.485222,3617.43594578269,72.514,16.12174,16.64
BEL,123.419128458,25.1,11.1,20.887868,22.359768,55291.4754541329,82.4,11.56679,33.91
TLS,100.848387796,47.2,3.4,3.1543557,32.994789,1502.41147438211,67.689,22.26386,7.68
CPV,235.504503564,16.0,2.4,15.772428,31.234873,4794.90121917259,76.059,33.14103,7.3
NER,96.168195479,13.9,1.2,7.6290332,16.196146,638.336080897887,61.183,55.52322,0.38
STP,99.556449791,7.4,5.9,23.26725,14.132354,2990.6606143535,69.718,33.74991,4.64
NAM,74.499575364,17.7,5.4,10.199158,29.126352,4187.60500396525,67.385,12.33809,6.44
LVA,143.01025684,18.2,6.1,24.794358,13.678427,22710.2637544197,75.4268292682927,15.64189,33.52
GHA,134.834365395,5.6,4.4,12.931313,21.162224,2383.90410483418,65.498,40.58055,2.66
COG,55.439893771,28.9,4.0,12.758382,19.454044,2477.97845544866,65.772,39.95645,1.73
SGP,122.302988654,22.1,2.0,15.934229,24.155657,85412.230345235,83.0975609756098,13.33302,26.7
DZA,124.705180223,22.8,1.6,32.301944,29.036757,5370.477235078,76.261,22.85498,16.6
ETH,83.676059449,4.5,2.4,1.0555097,12.103188,1055.81091592527,67.315,23.49859,1.43
FSM,159.942727288,17.7,2.5,47.100437,35.563789,3919.64307910859,67.198,8.12769,9.74
IDN,142.921482902,3.0,1.0,16.101895,21.51141,4876.30774512252,71.146,19.93081,5.24
YEM,87.556073348,17.7,0.0,16.996951,34.091618,6299.99026533713,69.295,41.6585,1.65
NLD,197.841111272,19.7,14.8,14.528421,10.71339,63515.6030780019,81.8634146341464,10.7416,38.68
JOR,162.046838791,34.5,0.2,38.506997,28.23,4466.08314208575,77.814,26.28272,29.57
MKD,113.10840224,43.6,6.2,28.093126,31.628551,8674.35846327485,75.3160975609756,32.75421,29.44
LBR,134.206556479,4.8,6.1,20.966926,14.583702,799.194470229642,62.163,41.87608,1.78
USA,90.949722208,11.5,4.6,41.986719,33.736992,81032.262117545,78.3853658536585,7.41177,26.54
BEN,95.786947431,1.4,1.1,7.1299814,15.639967,1394.17784721831,60.774,31.77874,2.16
TUN,140.980370198,24.4,3.8,19.28324,33.35651,3951.11683376921,76.508,26.52402,12.38
LBY,83.171816158,49.1,0.0,45.926279,45.562469,6026.51518708812,69.339,29.83557,20.42
URY,122.061995172,15.5,6.9,35.600987,36.819019,23019.4221560046,78.138,8.23782,45.51
HND,92.698865248,12.3,3.8,35.975698,30.623734,3227.45762509776,72.884,19.41589,19.02
POL,147.805218101,26.3,18.4,31.05256,37.953384,22145.2660647429,78.2585365853659,19.89664,36.49
