country,cancer_mortality,breast_cancer_mortality,mouth_oropharynx_cancer_mortality,oesophagus_cancer_mortality,colorectal_cancer_mortality,liver_cancer_mortality,smoking,alcohol,obesity,inactivity,gdp_per_capita,life_expectancy,pollution_pm25,medical_doctors_per_10000,cervical_screening_rate,hepatitis_b_prevalence,urban_population_pct
AFG,92.41178321,14.5,0.4,21.4,8.8,6.3,38.1,0.4,19.222592,46.025105,413.757894705303,66.035,84.04458,3.17,19.0,1.8,25.4730529631167
AGO,118.190649838,18.9,20.7,8.2,8.7,9.8,,3.1,16.318549,20.424028,2916.13663284275,64.617,27.16477,2.44,14.0,7.6,69.8515032220457
ALB,86.125104271,0.0,9.7,3.0,12.3,4.1,37.7,7.2,21.383689,24.279688,9730.86921906893,79.602,16.57698,18.79,7.0,6.5,58.2106086137857
ARE,97.187169786,3.5,0.0,5.8,7.4,,15.9,0.8,28.637242,73.598923,49850.6872175164,82.909,38.92641,29.92,34.0,0.9,85.6680699002526
ARG,134.592687925,25.8,4.5,5.2,16.2,5.8,27.3,14.9,35.355195,36.934277,14261.8465667948,77.395,11.97366,50.88,82.0,0.2,92.1945132257907
ARM,126.91210057,22.2,9.7,0.0,8.4,3.6,52.3,9.1,24.509035,25.314573,8159.08720967996,77.4658536585366,28.4066,33.6,34.0,0.8,65.6956882008852
ATG,163.878023299,0.0,3.7,2.3,6.5,6.5,,10.3,41.676244,38.117939,21494.5474000727,77.598,8.29693,29.17,84.0,1.6,24.4500156687422
AUS,121.313397916,10.7,3.9,0.4,19.6,4.6,13.3,16.0,30.243906,27.166674,65058.3773146674,83.0512195121951,9.11918,42.28,70.0,0.7,87.4866955653765
AUT,108.331718514,20.1,7.5,2.4,16.2,2.8,21.7,12.0,18.450151,19.876013,56579.504175468,81.7926829268293,10.33679,55.15,93.0,,69.2265358276021
AZE,67.988366382,17.7,2.2,0.3,2.9,2.4,18.5,7.5,26.548883,25.076597,7133.02838048328,74.429,27.15334,31.85,10.0,,58.5075350483702
BDI,128.728636423,9.8,0.1,22.8,4.8,30.9,4.8,2.8,4.0445022,13.996124,250.627253097255,63.651,26.30518,0.78,10.0,2.3,23.5534768372276
BEL,123.419128458,28.1,4.1,6.3,17.1,4.6,19.0,5.3,20.025368,22.359768,55291.4754541329,82.4,12.29753,33.91,82.0,,87.551492636772
BEN,95.786947431,17.6,0.1,3.5,6.7,18.3,12.1,1.1,14.995565,20.294455,1394.17784721831,60.774,32.60628,2.16,0.0,11.2,51.7457922964593
BFA,158.875384747,0.0,0.1,0.1,9.7,39.4,4.1,20.2,9.2728607,14.31019,873.482589651003,61.092,38.46883,1.08,4.0,4.8,27.7872478365158
BGD,115.912472033,0.0,27.3,5.0,1.4,1.7,30.5,0.0,5.303124,20.936911,2551.01773827307,74.672,42.47021,7.22,7.0,,32.1578465036834
BGR,161.504515226,0.2,5.3,2.4,22.0,9.3,39.9,20.2,20.587641,32.280933,15853.208636704,75.7560975609756,18.62585,43.92,71.0,,73.7322671584613
BHR,81.762074423,9.1,4.2,0.0,6.0,7.4,25.8,1.1,36.126715,35.726631,29290.1284215098,81.284,51.84331,7.41,37.0,0.9,100.0
BHS,122.212826389,28.4,3.5,,10.5,4.9,16.3,4.8,47.25754,26.574717,38231.774484278,74.552,5.19903,18.95,56.0,1.6,81.3213799173676
BIH,183.853552993,0.2,4.4,0.0,12.0,10.8,35.6,7.2,21.193913,23.692265,8663.02326458629,77.85,26.19402,25.84,3.0,2.5,51.5657239834305
BLR,82.508399826,19.1,0.1,2.8,22.9,1.5,12.0,5.4,21.374618,14.608881,7896.75388295584,74.1837804878049,13.40596,47.29,90.0,3.9,78.8146420666327
BLZ,78.854507825,10.2,3.9,5.0,5.6,10.3,8.6,2.6,32.72157,41.519344,7424.75821321022,73.566,10.50946,13.36,47.0,1.2,41.9459437504976
